Year,temp_mean,temp_std,co2_mean,co2_std
1000,-0.353667946,0.096038534,278.66,0.904742316
1001,-0.376151248,0.092810037,278.68,0.904742316
1002,-0.395981958,0.096509823,278.69,0.904742316
1003,-0.40627025,0.10159916,278.71,0.904742316
1004,-0.402455086,0.101149868,278.72,0.904742316
1005,-0.389755278,0.096487412,278.73,0.904742316
1006,-0.378790403,0.094408825,278.74,0.904742316
1007,-0.377514012,0.098412816,278.75,0.904742316
1008,-0.387891171,0.107071634,278.76,0.904742316
1009,-0.404832246,0.11706771,278.77,0.904742316
1010,-0.420225144,0.124798106,278.78,0.904742316
1011,-0.429529367,0.12939048,278.79,0.904742316
1012,-0.429148177,0.131737867,278.8,0.904742316
1013,-0.415241075,0.135980754,278.81,0.904742316
1014,-0.389343954,0.144958784,278.82,0.904742316
1015,-0.357271209,0.155861552,278.83,0.904742316
1016,-0.323146449,0.161277047,278.84,0.904742316
1017,-0.292969098,0.155421639,278.85,0.904742316
1018,-0.271678695,0.138857696,278.86,0.904742316
1019,-0.26191881,0.121797374,278.88,0.904742316
1020,-0.263540883,0.110803601,278.89,0.904742316
1021,-0.275938772,0.105702029,278.91,0.904742316
1022,-0.293201344,0.106402443,278.93,0.904742316
1023,-0.309035125,0.110516866,278.95,0.904742316
1024,-0.318230902,0.114413469,278.97,0.904742316
1025,-0.316879463,0.115353619,279,0.904742316
1026,-0.301753935,0.113074653,279.03,0.904742316
1027,-0.280453167,0.109982015,279.06,0.904742316
1028,-0.265537044,0.108092034,279.09,0.904742316
1029,-0.261738388,0.108577192,279.13,0.904742316
1030,-0.266170633,0.110029376,279.16,0.904742316
1031,-0.281542418,0.111897484,279.2,0.904742316
1032,-0.30231977,0.112080894,279.25,0.904742316
1033,-0.318770441,0.111380055,279.29,0.904742316
1034,-0.334519962,0.114574042,279.34,0.904742316
1035,-0.348677159,0.121020933,279.39,0.904742316
1036,-0.355446065,0.128242677,279.44,0.904742316
1037,-0.355125144,0.133203419,279.5,0.904742316
1038,-0.352765451,0.135226435,279.55,0.904742316
1039,-0.352081958,0.135102486,279.61,0.904742316
1040,-0.351853935,0.133787892,279.67,0.904742316
1041,-0.348782534,0.131191051,279.73,0.904742316
1042,-0.340751248,0.127596522,279.79,0.904742316
1043,-0.330798081,0.127511034,279.86,0.904742316
1044,-0.325690595,0.133386643,279.92,0.904742316
1045,-0.325576008,0.141773541,279.98,0.904742316
1046,-0.32692975,0.149215304,280.05,0.904742316
1047,-0.325134933,0.155940302,280.11,0.904742316
1048,-0.321466411,0.15996061,280.17,0.904742316
1049,-0.320664875,0.163189725,280.23,0.904742316
1050,-0.321530326,0.168447743,280.29,0.904742316
1051,-0.324567946,0.175369292,280.35,0.904048614
1052,-0.330383685,0.180229382,280.41,0.901367528
1053,-0.340370441,0.184256758,280.47,0.898583421
1054,-0.350981958,0.186687678,280.53,0.895932246
1055,-0.356848369,0.186268296,280.58,0.893440381
1056,-0.357284645,0.186398466,280.63,0.892370742
1057,-0.357977927,0.190346807,280.68,0.890478737
1058,-0.361580422,0.198036798,280.73,0.887820426
1059,-0.362764107,0.204617244,280.77,0.883915433
1060,-0.354285605,0.205237273,280.82,0.882419441
1061,-0.338238388,0.195876703,280.85,0.87980911
1062,-0.327164491,0.181012353,280.89,0.877717055
1063,-0.32538906,0.165515132,280.92,0.874782471
1064,-0.330339155,0.152140023,280.95,0.871242458
1065,-0.343501919,0.144354756,280.98,0.870430555
1066,-0.365416699,0.145157566,281.01,0.866439322
1067,-0.394211708,0.156714615,281.04,0.865154191
1068,-0.420797697,0.175376604,281.06,0.861823422
